metric_name,metric_short_name,domain,module,level,variable_global_name,unit_global,variable_model_name,depth_01,model,unit_model,conversion_factor,function_name
Number_Of_Anoxic_Day,Anoxic_Day,Water,Oxygen,Level1,DO_gramsPerCubicMeter,gramsPerCubicMeter,OXY_oxy,1,GLM,mmol O2/m3,0.032,cal_anoxic_date
pH,pH,Water,Carbon,Level1,pH,,CAR_pH,1,GLM,,,
Photosynthetic_DO_Production_mgPerL,Photo_DO_Pr,Water,Phytoplankton,Level2,DO_gramsPerCubicMeter,gramsPerCubicMeter,selmaprotbas_DO_mg,1,SELMAPROTBAS,mg O2/m**3,0.001,
Photosynthetic_DO_Production_mgPerL,Photo_DO_Pr,Water,Phytoplankton,Level2,DO_gramsPerCubicMeter,gramsPerCubicMeter,OXY_oxy,1,GLM,mmol O2/m3,0.032,
PO4_gramsPerCubicMeter,PO4,Water,Phosphorus,Level1,PO4_gramsPerCubicMeter,gramsPerCubicMeter,abiotic_water_sPO4W,1,WET,g/m3,1,
PO4_gramsPerCubicMeter,PO4,Water,Phosphorus,Level1,PO4_gramsPerCubicMeter,gramsPerCubicMeter,selmaprotbas_Pho,1,SELMAPROTBAS,mg PO4P/m**3,0.001,
PO4_gramsPerCubicMeter,PO4,Water,Phosphorus,Level1,PO4_gramsPerCubicMeter,gramsPerCubicMeter,PHS_frp,1,GLM,mmol P/m3,0.03097,
POC_gramsPerCubicMeter,POC,Water,Carbon,Level1,POC_gramsPerCubicMeter,gramsPerCubicMeter,OGM_poc,1,GLM,mmol C/m3,0.01201,
POM_gramsPerCubicMeter,POM,Water,Carbon,Level1,POM_gramsPerCubicMeter,gramsPerCubicMeter,abiotic_water_sDPOMW,1,WET,g/m3,1,
PON_gramsPerCubicMeter,PON,Water,Nitrogen,Level1,PON_gramsPerCubicMeter,gramsPerCubicMeter,abiotic_water_sNPOMW,1,WET,g/m3,1,
PON_gramsPerCubicMeter,PON,Water,Nitrogen,Level1,PON_gramsPerCubicMeter,gramsPerCubicMeter,OGM_pon,1,GLM,mmol N/m3,0.014,
POP_gramsPerCubicMeter,POP,Water,Phosphorus,Level1,POP_gramsPerCubicMeter,gramsPerCubicMeter,abiotic_water_sPPOMW,1,WET,g/m3,1,
POP_gramsPerCubicMeter,POP,Water,Phosphorus,Level1,POP_gramsPerCubicMeter,gramsPerCubicMeter,OGM_pop,1,GLM,mmol P/m3,0.03097,
Salt_gramsPerKilograms,Salt,Water,LER,Level1,Salt_gramsPerKilograms,gramsPerKilograms,salt,1,SELMAPROTBAS,g/kg,1,
Salt_gramsPerKilograms,Salt,Water,LER,Level1,Salt_gramsPerKilograms,gramsPerKilograms,salt,1,GLM,g/kg,1,
Salt_gramsPerKilograms,Salt,Water,LER,Level1,Salt_gramsPerKilograms,gramsPerKilograms,salt,1,WET,g/kg,1,
Silica_gramsPerCubicMeter,Silica,Water,Silica,Level1,Silica_gramsPerCubicMeter,gramsPerCubicMeter,abiotic_water_sSiO2W,1,WET,g/m3,1,
Silica_gramsPerCubicMeter,Silica,Water,Silica,Level1,Silica_gramsPerCubicMeter,gramsPerCubicMeter,selmaprotbas_Si_mg,1,SELMAPROTBAS,mg Si/m**3,0.001,
Silica_gramsPerCubicMeter,Silica,Water,Silica,Level1,Silica_gramsPerCubicMeter,gramsPerCubicMeter,SIL_rsi,1,GLM,mmol Si/m3,0.06008,
