"include","module","domain","process","subprocess","model_coupled","parameter","default","lower","upper","initial","log","unit","path","note"
FALSE,"nitrogen","water","nitrification","nitrification","GLM-AED2","Knitrif",15,12,18,15,FALSE,"mmol m-3","aed2_nitrogen/Knitrif","saturation concentration for nitrification"
FALSE,"nitrogen","water","nitrification","nitrification","SIMSTRAT-AED2","Knitrif",15,12,18,15,FALSE,"mmol m-3","aed2_nitrogen/Knitrif","saturation concentration for nitrification"
FALSE,"macrophytes","sediment","growth","equation_options_growth","GOTM-WET","fSedUptVegCoef",2.66,2.128,3.192,2.66,FALSE,"-","{group_name}/parameters/fSedUptVegCoef","lEmpUpt = .true.; sediment nutrient fraction sigma"
FALSE,"macrophytes","sediment","growth","equation_options_growth","GOTM-WET","fSedUptVegExp",-0.83,-0.664,-0.996,-0.83,FALSE,"-","{group_name}/parameters/fSedUptVegExp","lEmpUpt = .true.; sediment nutrient fraction exp."
FALSE,"macrophytes","sediment","growth","equation_options_growth","GOTM-WET","fSedUptVegMax",0.5,0.4,0.6,0.5,FALSE,"-","{group_name}/parameters/fSedUptVegMax","lEmpUpt = .true.; max. sediment nutrient fraction"
FALSE,"macrophytes","sediment","mortality","mineralization","GOTM-WET","fTOMWMortVeg",0.1,0.08,0.12,0.1,FALSE,"-","{group_name}/parameters/fTOMWMortVeg","organic matter fraction of dead shoots"
FALSE,"macrophytes","sediment","mortality","mineralization","GOTM-WET","fVegDOMS",0,0,0,0,FALSE,"-","{group_name}/parameters/fVegDOMS","dissolved organic matter fraction of dead roots"
FALSE,"nitrogen","water","water_atmosphere_exchange","n2o","GLM-AED2","atm_n2o",3.2e-07,2.56e-07,3.84e-07,3.2e-07,FALSE,"?","aed2_nitrogen/atm_n2o","atmospheric concentration of n2o"
FALSE,"nitrogen","water","water_atmosphere_exchange","n2o","SIMSTRAT-AED2","atm_n2o",3.2e-07,2.56e-07,3.84e-07,3.2e-07,FALSE,"?","aed2_nitrogen/atm_n2o","atmospheric concentration of n2o"
FALSE,"nitrogen","water","water_atmosphere_exchange","n2o","GLM-AED2","n2o_piston_model",4,3.2,4.8,4,FALSE,"(integer)","aed2_nitrogen/n2o_piston_model","1: ; 2:"
FALSE,"nitrogen","water","water_atmosphere_exchange","n2o","SIMSTRAT-AED2","n2o_piston_model",4,3.2,4.8,4,FALSE,"(integer)","aed2_nitrogen/n2o_piston_model","1: ; 2:"
FALSE,"macrophytes","sediment","mortality","mineralization","GOTM-WET","fVegDOMW",0,0,0,0,FALSE,"-","{group_name}/parameters/fVegDOMW","dissolved organic matter fraction of dead shoots"
FALSE,"macrophytes","sediment","growth","phenology","GOTM-WET","fWinVeg",0.3,0.24,0.36,0.3,FALSE,"-","{group_name}/parameters/fWinVeg","fraction surviving outside of growing season"
FALSE,"oxygen","water","oxygen_consumption","BOD","GOTM-WET","hO2BOD",1,0.8,1.2,1,FALSE,"mgO2/l","humus/parameters/hO2BOD","half saturation oxygen conc. for BOD"
FALSE,"carbon","sediment","water_sediment_exchange","sediment_flux_dim","GLM-AED2","theta_sed_dic",1.07,0.856,1.284,1.07,FALSE,"-","aed2_carbon/theta_sed_dic","Arrhenius temperature multiplier for sediment dic flux"
FALSE,"carbon","sediment","water_sediment_exchange","sediment_flux_dim","SIMSTRAT-AED2","theta_sed_dic",1.07,0.856,1.284,1.07,FALSE,"-","aed2_carbon/theta_sed_dic","Arrhenius temperature multiplier for sediment dic flux"
FALSE,"zoobenthos","sediment","grazing","grazing_rate","GOTM-WET","hDFoodBent",200,160,240,200,FALSE,"g/m2","{group_name}/parameters/hDFoodBent","half-saturation food concentration"
FALSE,"oxygen","sediment","water_sediment_exchange","diffusion","GOTM-WET","cThetaDif",1.016,0.8128,1.2192,1.016,FALSE,"1/e^*C","sediment_exchange/parameters/cThetaDif","temperature coefficient for diffusion"
FALSE,"oxygen","sediment","water_sediment_exchange","diffusion","GOTM-WET","cTurbDifO2",5,4,6,5,FALSE,"-","abiotic_sediment/parameters/cTurbDifO2","bioturbation factor for oxygen diffusion"
FALSE,"oxygen","sediment","water_sediment_exchange","diffusion","GOTM-WET","kO2Dif",0.00017,0.000136,0.000204,0.00017,FALSE,"m2/d","abiotic_sediment/parameters/kO2Dif","O2 diffusion constant at 20*C"
FALSE,"oxygen","water","initial_conditions","initial_oxygen","GLM-AED2","oxy_initial",225,180,270,225,FALSE,"mmol O2 m-3","aed2_oxygen/oxy_initial","-"
FALSE,"oxygen","water","initial_conditions","initial_oxygen","SIMSTRAT-AED2","oxy_initial",225,180,270,225,FALSE,"mmol O2 m-3","aed2_oxygen/oxy_initial","-"
FALSE,"oxygen","water","initial_conditions","initial_oxygen","GOTM-Selmaprotbas","o2",225,180,270,225,FALSE,"mmol O2 m-3","selmaprotbas/initialization/o2","-"
FALSE,"oxygen","water","initial_conditions","initial_oxygen","GOTM-WET","sO2W",13,10.4,15.6,13,FALSE,"g/m3","abiotic_water/initialization/sO2W","oxygen"
FALSE,"oxygen","water","oxygen","max_oxygen","GLM-AED2","oxy_max",500,400,600,500,FALSE,"mmol O2 m-3","aed2_oxygen/oxy_max","-"
FALSE,"oxygen","water","oxygen","max_oxygen","SIMSTRAT-AED2","oxy_max",500,400,600,500,FALSE,"mmol O2 m-3","aed2_oxygen/oxy_max","-"
FALSE,"oxygen","water","water_atmosphere_exchange","piston_velocity","GOTM-Selmaprotbas","pvel",5,4,6,5,FALSE,"m d-1","selmaprotbas/parameters/pvel","piston velocity"
FALSE,"oxygen","water","water_atmosphere_exchange","reaeration_parameters","GOTM-WET","cThetaAer",1.011,0.8088,1.2132,1.011,FALSE,"1/e^*C","abiotic_water/parameters/cThetaAer","temperature coefficient for reaeration"
FALSE,"phytoplankton","water","vertical_movement","equation_options_vertical_movement","GOTM-WET","fNutLimVMdown",0.675,0.54,0.81,0.675,FALSE,"-","{group_name}/parameters/fNutLimVMdown","qTrans > 3 or 4; threshold nut. limitation for downwards taxis"
FALSE,"macrophytes","sediment","growth","light_limitation","GOTM-WET","hLRefVeg",17,13.6,20.4,17,FALSE,"W/m2","{group_name}/parameters/hLRefVeg","half-saturation PAR of macrophyte growth at 20*C"
FALSE,"nitrogen","sediment","denitrification","denitrification","GOTM-WET","hNO3DenitS",0.5,0.4,0.6,0.5,FALSE,"mgN/l","abiotic_sediment/parameters/hNO3DenitS","quadratic half-sat. NO3 conc. for denitrification"
FALSE,"nitrogen","water","denitrification","denitrification","GOTM-WET","hNO3DenitW",1,0.8,1.2,1,FALSE,"mgN/l","DOM/parameters/hNO3DenitW","quadratic half saturation NO3 conc. for denitrification"
FALSE,"nitrogen","water","denitrification","denitrification","GOTM-WET","hNO3DenitW",1,0.8,1.2,1,FALSE,"mgN/l","POM/parameters/hNO3DenitW","quadratic half saturation NO3 conc. for denitrification"
FALSE,"nitrogen","water","denitrification","denitrification","GOTM-WET","hNO3DenitW",1,0.8,1.2,1,FALSE,"mgN/l","humus/parameters/hNO3DenitW","quadratic half saturation NO3 conc. for denitrification"
FALSE,"macrophytes","sediment","growth","oxygen_correction","GOTM-WET","hO2BOD",1,0.8,1.2,1,FALSE,"mgO2/l","{group_name}/parameters/hO2BOD","half-saturation constant for oxygen conc. on BOD"
FALSE,"phytoplankton","water","vertical_movement","equation_options_vertical_movement","GOTM-WET","fNutLimVMup",0.75,0.6,0.9,0.75,FALSE,"-","{group_name}/parameters/fNutLimVMup","qTrans > 2 or 4; threshold nut. limitation for upwards taxis"
