"","module","domain","process","subprocess","model","parameter","path","unit","default","version","note"
"222","fish","water","initial_conditions","maximum_concentration","pclake","cDCarrPiscMax","parameters/cDCarrPiscMax","gDW*m^-2","1.2","1.0.0","Maximum_carrying_capacity_of_Pi_sc(=75_kg/ha)"
"223","fish","water","initial_conditions","maximum_concentration","pclake","cDCarrFish","parameters/cDCarrFish","gDW*m^-2","23","1.0.0","Carrying_capacity_of_fish(=_100_gFW/m2Grimm_1983)"
"224","fish","water","initial_conditions","minimum_concentration","pclake","cDCarrPiscMin","parameters/cDCarrPiscMin","gDW*m^-2","0.1","1.0.0","Minimum_carrying_capacity_of_Pi_sc(=6_kg/ha)"
"225","macrophytes","sediment","stoichiometry","phosphorus_ratio","wet","cPDVegMin","{group_name}/parameters/cPDVegMin","mgP/mg","0.001","1","minimum P/DW ratio"
"226","fish","water","management","harvesting","pclake","kHarvFishSum","parameters/kHarvFishSum","d^-1","0","1.0.0","Fish_harvesting_fraction_in_summer"
"227","fish","water","management","harvesting","pclake","kHarvFishWin","parameters/kHarvFishWin","d^-1","0","1.0.0","Fish_harvesting_fraction_in_winter"
"228","fish","water","management","harvesting","pclake","kHarvPiscSum","parameters/kHarvPiscSum","d^-1","0","1.0.0","_Pi_sc_harvesting_fraction_in_summer"
"229","fish","water","management","harvesting","pclake","kHarvPiscWin","parameters/kHarvPiscWin","d^-1","0","1.0.0","_Pi_sc_harvesting_fraction_in_winter"
"230","phosphorus","sediment","sediment_ground_exchange","groundwater_exchange","wet","cPO4Ground","burial/parameters/cPO4Ground","mgP/l","0.1","1","PO4 concentration in groundwater"
"231","fish","water","migration","migration","pclake","cDPiscIn","parameters/cDPiscIn","gDW*m^-2","0.001","1.0.0","External_Pi_sc_density"
"232","fish","water","migration","migration","pclake","kMigrFish","parameters/kMigrFish","d^-1","0.001","1.0.0","Fish_migration_rate"
"233","fish","water","migration","migration","pclake","kMigrPisc","parameters/kMigrPisc","d^-1","0.001","1.0.0","_Pi_sc_migration_rate"
"234","fish","water","migration","migration","pclake","cDFiAdIn","parameters/cDFiAdIn","gDW*m^-2","0.005","1.0.0","External_fish_density"
"235","fish","water","migration","migration","pclake","cDFiJvIn","parameters/cDFiJvIn","gDW*m^-2","0.005","1.0.0","External_fish_density"
"236","fish","water","mortality","excretion","pclake","fFiJvExcrHyp","parameters/fFiJvExcrHyp","-","0.1","1.0.0","Fraction_of_excreted_FiJv_to_hypolimnion"
"237","fish","water","mortality","excretion","pclake","fPiscExcrHyp","parameters/fPiscExcrHyp","-","0.5","1.0.0","Fraction_of_excreted_Pisc_to_hypolimnion"
"238","fish","water","mortality","excretion","pclake","fFiAdExcrHyp","parameters/fFiAdExcrHyp","-","0.9","1.0.0","Fraction_of_excreted_FiAd_to_hypolimnion"
"239","fish","water","mortality","mortality_rate","pclake","fFiAdMortHyp","parameters/fFiAdMortHyp","-","0","1.0.0","Fraction_of_mortality_FiAd_to_hypolimnion"
"240","fish","water","mortality","mortality_rate","pclake","fFiJvMortHyp","parameters/fFiJvMortHyp","-","0","1.0.0","Fraction_of_mortality_FiJv_to_hypolimnion"
"241","fish","water","mortality","mortality_rate","pclake","fPiscMortHyp","parameters/fPiscMortHyp","-","0","1.0.0","Fraction_of_mortality_Pisc_to_hypolimnion"
"242","fish","water","mortality","mortality_rate","pclake","kMortFiAd","parameters/kMortFiAd","d^-1","0.00027","1.0.0","Specific_mortality_of_adult_fish(=_01_y-1)"
"243","fish","water","mortality","mortality_rate","pclake","kMortPisc","parameters/kMortPisc","d^-1","0.00027","1.0.0","Specific_mortality_of_Pi_sc_=_01_y-1"
"244","fish","water","mortality","mortality_rate","pclake","kMortFiJv","parameters/kMortFiJv","d^-1","0.00137","1.0.0","Specific_mortality_of_young_fish(=_01_y-1)"
"245","zoobenthos","sediment","grazing","preference","wet","cPref1","{group_name}/parameters/cPref1","-","1","1","selection factor for prey 1"
"246","macrophytes","sediment","growth","temperature_limitation","wet","cQ10ProdVeg","{group_name}/parameters/cQ10ProdVeg","-","1.2","1","temperature q10 of growth"
"247","fish","water","reproduction","phenology","pclake","cDayReprFish","parameters/cDayReprFish","-","120","1.0.0","Reproduction_date_of_fish_=_1_May"
"248","macrophytes","sediment","respiration","temperature_limitation","wet","cQ10RespVeg","{group_name}/parameters/cQ10RespVeg","-","2","1","temperature q10 of respiration"
"249","fish","water","reproduction","reproction_rate","pclake","fReprFish","parameters/fReprFish","-","0.02","1.0.0","Yearly_reproduction_fraction_of_adult_fish"
"250","phosphorus","sediment","absorption","absorption","wet","cRelPAdsAlS","abiotic_sediment/parameters/cRelPAdsAlS","gP/gAl","0.134","1","max. P adsorption per g Al"
"251","fish","water","respiration","respiration_rate","pclake","kDRespFiAd","parameters/kDRespFiAd","d^-1","0.004","1.0.0","Maintenance_respiration_constant_of_adult_fish"
"252","fish","water","respiration","respiration_rate","pclake","kDRespPisc","parameters/kDRespPisc","d^-1","0.005","1.0.0","Maint_respiration_constant_of_Pi_sc"
"253","fish","water","respiration","respiration_rate","pclake","kDRespFiJv","parameters/kDRespFiJv","d^-1","0.01","1.0.0","Maintenance_respiration_constant_of_young_fish"
"254","phosphorus","water","absorption","absorption","wet","cRelPAdsAlW","abiotic_water/parameters/cRelPAdsAlW","gP/gAl","0.134","1","maximum P adsorption per g Al"
"255","fish","water","stoichiometry","bone_fraction","pclake","fDBone","parameters/fDBone","-","0.35","1.0.0","Fraction_of_fish_C_fixed_in_bones_and_scales"
"256","fish","water","stoichiometry","bone_fraction","pclake","fPBone","parameters/fPBone","-","0.5","1.0.0","Fraction_of_fish_P_fixed_in_bones_and_scales"
